date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:47	130/130	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Jan%202021%2011:22:46%20GMT	http://www.minotech.co.uk/developers/	/home/keith/websites/Minotech/www.minotech.co.uk/developers/index.html	(from http://www.minotech.co.uk/development/)
11:22:48	8925/8925	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:47%20GMT	http://www.minotech.co.uk/development/mentoring/	/home/keith/websites/Minotech/www.minotech.co.uk/development/mentoring/index.html	(from http://www.minotech.co.uk/development/)
11:22:48	10199/10199	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:48%20GMT	http://www.minotech.co.uk/development/blog/azure-umbraco-friends-at-last/	/home/keith/websites/Minotech/www.minotech.co.uk/development/blog/azure-umbraco-friends-at-last/index.html	(from http://www.minotech.co.uk/development/)
11:22:48	20757/20757	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:47%20GMT	http://www.minotech.co.uk/development/blog/	/home/keith/websites/Minotech/www.minotech.co.uk/development/blog/index.html	(from http://www.minotech.co.uk/development/)
11:22:48	28546/28546	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:47%20GMT	http://www.minotech.co.uk/development/open-source-projects/	/home/keith/websites/Minotech/www.minotech.co.uk/development/open-source-projects/index.html	(from http://www.minotech.co.uk/development/)
11:22:51	15163/15163	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:50%20GMT	http://www.minotech.co.uk/development/blog/azure-not-a-lean-solution/	/home/keith/websites/Minotech/www.minotech.co.uk/development/blog/azure-not-a-lean-solution/index.html	(from http://www.minotech.co.uk/development/)
11:22:52	13861/13861	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:50%20GMT	http://www.minotech.co.uk/blog/the-anti-agility-of-dogma-or-why-agile-is-a-science-and-not-a-faith/	/home/keith/websites/Minotech/www.minotech.co.uk/blog/the-anti-agility-of-dogma-or-why-agile-is-a-science-and-not-a-faith/index.html	(from http://www.minotech.co.uk/blog/)
11:23:00	46590/46590	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jan%202021%2011:22:49%20GMT	http://www.minotech.co.uk/media/1015/cloud-devices-med.jpg	/home/keith/websites/Minotech/www.minotech.co.uk/media/1015/cloud-devices-med.jpg	(from http://www.minotech.co.uk/blog/)
11:23:12	110243/110243	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jan%202021%2011:22:52%20GMT	http://www.minotech.co.uk/media/1096/pragmatic-agilist.jpg	/home/keith/websites/Minotech/www.minotech.co.uk/media/1096/pragmatic-agilist.jpg	(from http://www.minotech.co.uk/blog/)
11:23:13	124974/124974	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jan%202021%2011:22:50%20GMT	http://www.minotech.co.uk/media/1097/dsc_0250-2.jpg	/home/keith/websites/Minotech/www.minotech.co.uk/media/1097/dsc_0250-2.jpg	(from http://www.minotech.co.uk/blog/)
